타임스탬프,본인이 생각하기에 자신이 얼마나 야민정음에 익숙한가요?,대 - 머,파 - 과,피 - 끠,포 - 쪼,비 - 네,우 - 윽,유 - 윾,며 - 띠,광 - 팡,ㅍ - 고,디 - ㅁ,구 - ㅋ,켜 - 궈,ㅂ - 너,근 - ㄹ,리 - 긘,라 - 콰,읍 - 윰,녕 - 덩,왕 - 앟,통 - 듷,봉 - 넣,픈 - 곧,교 - 꼬,인 - 외,되 - 티,답 - 돤,익 - 의,임 - 읜,일 - 읟,위 - 읶,억 - 여,콘 - 귣,지 - 거,시 - ㅐ,서 - ㅒ,녀 - 티,귀 - 커,리 - 쾨,저 - 겨,찌 - 꺼,끄 - ㅍ,든 - ㅌ,또 - 포,백 - 뿌,1. 역시 대한민국의 육군은,2. 논문을 써야 하는데 폭풍 수면해버림,3. 이 장면 너무 귀엽고 대명작,4. 전 대통령과 비슷하네,5. 우유 먹은 사람 자수하고 광명 찾자,6. 곧 대구 도착해서 유명한 피자 집 갈 것,7. 국문과 강의가 ㄹㅇ 명강,번역기 수정에 참고할 수 있는 추가 의견을 부탁드립니다.
12/12/2017 20:54:20,2,5,5,5,1,5,2,5,5,5,4,3,4,1,5,5,3,1,1,1,4,1,1,1,1,4,3,3,4,3,2,5,1,1,4,2,2,1,5,2,4,1,1,1,1,1,역시 머화뫼논익 긍곤뇽,릉곰국 써야 하는데 옾눞 <ㅏ띤해또림,이 튽띤 ㅂ무 커엽ㅍ 머띵작,전 머통령파 네<K하비,우우 먹은 사람 자수하ㅍ 팡띵 찾자,곧 머ㅋ 도팍해서 윾띵화 괴자 겁 갈 짓,곰논파 강익가 근ㅇ 띵강,공식적으로 얼마나 쓸수 있을지 모르겠지만 숫자도 쓰시는지 궁금하네용. 쓰신다면 영= 8ㅕ 학=ㅎ5 이런것도 친구들이랑은 쓰는게 검토해주세용
12/12/2017 20:56:52,5,5,5,1,1,3,4,4,5,5,3,1,1,1,1,4,2,1,1,1,3,1,1,1,1,3,1,1,5,1,1,1,1,1,3,1,1,1,5,1,3,1,1,1,1,1,엌N 머한뫼쿠익 곤뇽긍,곰국을 써ok 하는데 옾눞 수띤해버림,이 장띤 너무 커엽고 머띵작,전 머통령과 뜨>l>하네,윽윾 댁은 사람 자수하고 팡띵 찾자,둔 머구 도착해서 윾띵한 괴자 집 갈 것,논곰파 강의가 ㄹㅇ 띵강,글자마다 적용하기보다는 단어 단위로 적용하는 게 나을 듯
12/12/2017 21:04:03,3,4,2,2,2,2,3,4,2,4,1,1,1,1,1,4,1,1,2,1,4,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,4,1,1,1,1,1,1,1,역시 머한민국의 뇽논은,곰국을 써야 하는데 폭풍 수면해 버림,이 장면 너무 커엽고 머명작,전 머통령과 비슷하네,ㅜ융 먹은 사람 자수하고 광명 찾자,곧 머구 도착해서 유명한 피자집 갈 것,국문과 강의가 ㄹㅇ 띵강,
12/12/2017 21:04:22,3,5,4,3,1,3,2,5,5,5,3,2,1,1,4,4,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,역시 머한민국의 육군은,곰국을 써야 하는데 눞옾 수띤해버림,이 장띤 너무 커엽고 머띵작,전 머통령과 비슷하비,우윾 먹은 사람 자수하고 팡명 찾자,둔 머구 도착해서 유띵한 괴자집 갈 것,곰논파 강의가 근ㅇ 띵강,
12/12/2017 21:04:29,5,5,5,4,3,5,5,5,5,5,4,4,3,3,2,5,4,3,2,2,5,2,2,3,2,5,3,3,5,3,1,2,4,3,3,3,3,3,5,1,4,3,4,3,2,1,역ㅐ 머한Eㅣ국익 곤뇽은,곰국을 써야 하는데 옾높 수띤해 또림,이 장띤 너무 커엽도 머띵작,전 머통령파 네슷하비,우유 댁은 가람 자수하ㅍ 팡띵 찾자,픈 머구 E착해서 윾띵한 괴자집 갈 것,극문파 강익가 ㄹㅇ 띵강,
12/12/2017 21:11:24,5,5,5,5,2,5,5,5,5,5,5,4,4,4,4,5,5,2,2,3,5,3,3,3,4,4,3,2,5,4,3,4,3,2,4,4,4,3,5,3,5,2,5,2,3,5,엌시 머화뫼논의 긍곤뇽,곰국을 꺼야 우ㅏ극데 옾눞 수뙤해또림,이 장뙤 ㅂ무 커엽끄 머띵작,견 머통령파 네<ㅣ<우ㅏ비,윽윾 댁은 사람 자수하ㅍ 팡띵 찾자,픈 머극 도착해서 윾띵화 괴자 집 갈짓,곰논파 강의가 근ㅇ 띵강,
12/12/2017 22:06:21,2,5,4,4,1,5,3,4,5,4,2,3,1,1,2,5,3,2,3,3,2,4,3,3,2,2,2,2,5,3,2,4,4,2,4,2,2,3,5,2,4,2,4,3,3,2,머한민국,곰국 옾눞,커엽고 머띵작,전 머듷령파,아야 팡띵,머구 ,곰논과 ㄹㅇ띵강,
12/12/2017 22:37:53,4,4,4,4,1,2,3,4,1,5,1,1,1,1,1,4,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,역시 머한민국의 육군은,곰국을 써야 하는데 웊눞 수띤해버림,이 장띤 너무 커엽고 머띵작,전 머통셩파 비슷하비,우윾 댁은 사람 자수하고 팡띵 찾자,곧 머구 도착해서 윾띵한 끠자 집 갈 것,국문파 강의가 근ㅇ 띵강,
12/12/2017 22:42:36,4,5,5,5,1,5,5,5,5,5,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,5,1,1,1,역시 머한민국의 육군운,논곰을 써야 하는데 폭풍 수면해버림,이 장면 너무 커엽고 머띵작,전 머통령과 비슷하비,우유 댁은 사람 자수하고 광띵찾저,곧 머구 도착해서 유띵한 괴자집 갈 것,논곰파 강의가 ㄹㅇ 띵강,
12/12/2017 22:45:09,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,내 남자친구♡,굳,ㅇㅈ,ㅉ,우유 싫어해요,피자 좋지,ㄴㅇㅈ,뭐가뭔지 1도 모르겠음 그래도 기프티콘 주세여😁
12/12/2017 22:45:42,4,5,5,5,1,5,4,5,5,5,2,4,5,4,2,5,3,2,2,1,2,2,2,2,5,3,2,1,1,1,1,5,1,2,1,2,1,1,5,1,2,1,5,4,2,5,역시 머한민국의 육군은,논문을 써야 하는데 옾높 수명해버림,이 장면 너무 커엽고 머띵작,전 머통령과 비슷하네,우유 먹은 사람 자수하고 팡띵 찾자,곧 머구 도착해서 유명한 끠자집 갈 것,국문과 강의가 ㄹㅇ 띵강,끠팜롬곡처럼 일부 단어만 거꾸로 쓰는 경우도 있음
12/12/2017 22:51:29,4,5,5,5,1,5,5,5,3,5,1,2,1,2,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,2,1,1,1,4,1,1,1,4,1,2,1,역시 머한민국의 육군은,곰국을 써야 하는데 폭풍 수면해버림,이 장면 너무 커엽고 머띵작,전 머통령과 비슷하네,우유 먹은 사람 자수하고 팡띵 찾자,곧 머구 도착해서 유띵한 피자 집 갈 것,국문과 강의가 ㄹㅇ 띵강,
12/12/2017 23:07:20,1,5,1,1,1,2,3,5,2,5,1,1,1,1,1,5,1,1,3,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,여윽시 머한민국의 육군은,논문을 씌야 하는데 ㅍㅍ수면해버림,이 장면 넘 커엽고 대띵작,전 머통령과 비슷하네,우유 먹은 사람 자수하고 광명 찾자,곧 머구도착해서 유명한 피자 집 갈것,궁문과 강의가 ㄹㅇ띵강,
